event,step,episodes,episode_steps,episode_score,death_reason,avg_score,avg_loss,best_score,replay_size,eval_score,eval_score_median,eval_score_max,eval_reward,eval_death_self,eval_death_wall,eval_death_timeout,best_eval
episode,19,1,19,0,wall,,,0,19,,,,,,,,
episode,22,2,3,0,wall,,,0,22,,,,,,,,
episode,25,3,3,0,wall,,,0,25,,,,,,,,
episode,27,4,2,0,wall,,,0,27,,,,,,,,
episode,30,5,3,0,wall,,,0,30,,,,,,,,
episode,44,6,14,0,self,,,0,44,,,,,,,,
episode,58,7,14,0,wall,,,0,58,,,,,,,,
episode,65,8,7,0,self,,,0,65,,,,,,,,
episode,69,9,4,0,wall,,,0,69,,,,,,,,
episode,72,10,3,0,self,,,0,72,,,,,,,,
episode,74,11,2,0,self,,,0,74,,,,,,,,
episode,78,12,4,0,self,,,0,78,,,,,,,,
episode,87,13,9,0,wall,,,0,87,,,,,,,,
episode,91,14,4,0,wall,,,0,91,,,,,,,,
episode,94,15,3,0,wall,,,0,94,,,,,,,,
episode,97,16,3,0,wall,,,0,97,,,,,,,,
episode,107,17,10,0,self,,,0,107,,,,,,,,
episode,111,18,4,0,wall,,,0,111,,,,,,,,
episode,116,19,5,0,self,,,0,116,,,,,,,,
episode,121,20,5,0,wall,,,0,121,,,,,,,,
episode,129,21,8,0,wall,,,0,129,,,,,,,,
episode,137,22,8,0,wall,,,0,137,,,,,,,,
episode,142,23,5,0,wall,,,0,142,,,,,,,,
episode,146,24,4,0,self,,,0,146,,,,,,,,
episode,185,25,39,0,wall,,,0,185,,,,,,,,
episode,203,26,18,0,wall,,,0,203,,,,,,,,
episode,204,27,1,0,wall,,,0,204,,,,,,,,
episode,209,28,5,0,self,,,0,209,,,,,,,,
episode,212,29,3,0,self,,,0,212,,,,,,,,
episode,220,30,8,0,self,,,0,220,,,,,,,,
episode,227,31,7,0,self,,,0,227,,,,,,,,
episode,239,32,12,0,wall,,,0,239,,,,,,,,
episode,242,33,3,0,wall,,,0,242,,,,,,,,
episode,243,34,1,0,self,,,0,243,,,,,,,,
episode,251,35,8,0,wall,,,0,251,,,,,,,,
episode,291,36,40,0,wall,,,0,291,,,,,,,,
episode,297,37,6,0,wall,,,0,297,,,,,,,,
episode,299,38,2,0,self,,,0,299,,,,,,,,
episode,314,39,15,0,wall,,,0,314,,,,,,,,
episode,315,40,1,0,wall,,,0,315,,,,,,,,
episode,334,41,19,0,wall,,,0,334,,,,,,,,
episode,336,42,2,0,self,,,0,336,,,,,,,,
episode,352,43,16,0,wall,,,0,352,,,,,,,,
episode,357,44,5,1,wall,,,1,357,,,,,,,,
episode,371,45,14,0,wall,,,1,371,,,,,,,,
episode,374,46,3,0,wall,,,1,374,,,,,,,,
episode,388,47,14,0,wall,,,1,388,,,,,,,,
episode,399,48,11,0,self,,,1,399,,,,,,,,
episode,401,49,2,0,self,,,1,401,,,,,,,,
episode,422,50,21,1,self,,,1,422,,,,,,,,
episode,423,51,1,0,self,,,1,423,,,,,,,,
episode,431,52,8,0,wall,,,1,431,,,,,,,,
episode,438,53,7,0,self,,,1,438,,,,,,,,
episode,441,54,3,0,self,,,1,441,,,,,,,,
episode,443,55,2,0,wall,,,1,443,,,,,,,,
episode,448,56,5,0,self,,,1,448,,,,,,,,
episode,449,57,1,0,wall,,,1,449,,,,,,,,
episode,463,58,14,0,wall,,,1,463,,,,,,,,
episode,468,59,5,0,self,,,1,468,,,,,,,,
episode,471,60,3,0,wall,,,1,471,,,,,,,,
episode,475,61,4,0,self,,,1,475,,,,,,,,
episode,480,62,5,0,self,,,1,480,,,,,,,,
episode,491,63,11,0,wall,,,1,491,,,,,,,,
episode,493,64,2,0,wall,,,1,493,,,,,,,,
episode,499,65,6,0,wall,,,1,499,,,,,,,,
episode,521,66,22,0,wall,,,1,521,,,,,,,,
episode,529,67,8,0,self,,,1,529,,,,,,,,
episode,532,68,3,0,wall,,,1,532,,,,,,,,
episode,547,69,15,1,wall,,,1,547,,,,,,,,
episode,556,70,9,0,wall,,,1,556,,,,,,,,
episode,557,71,1,0,wall,,,1,557,,,,,,,,
episode,600,72,43,0,wall,,,1,600,,,,,,,,
episode,602,73,2,0,wall,,,1,602,,,,,,,,
episode,604,74,2,0,self,,,1,604,,,,,,,,
episode,613,75,9,0,wall,,,1,613,,,,,,,,
episode,614,76,1,0,self,,,1,614,,,,,,,,
episode,624,77,10,1,wall,,,1,624,,,,,,,,
episode,629,78,5,0,wall,,,1,629,,,,,,,,
episode,633,79,4,0,wall,,,1,633,,,,,,,,
episode,636,80,3,0,wall,,,1,636,,,,,,,,
episode,637,81,1,0,wall,,,1,637,,,,,,,,
episode,651,82,14,0,wall,,,1,651,,,,,,,,
episode,654,83,3,0,self,,,1,654,,,,,,,,
episode,665,84,11,0,self,,,1,665,,,,,,,,
