event,step,episodes,episode_steps,episode_score,death_reason,avg_score,avg_loss,best_score,replay_size,eval_score,eval_score_median,eval_score_max,eval_reward,eval_death_self,eval_death_wall,eval_death_timeout,best_eval
episode,8,1,8,0,self,,,0,8,,,,,,,,
episode,10,2,2,0,self,,,0,10,,,,,,,,
episode,21,3,11,0,wall,,,0,21,,,,,,,,
episode,36,4,15,0,self,,,0,36,,,,,,,,
episode,52,5,16,0,self,,,0,52,,,,,,,,
episode,53,6,1,0,wall,,,0,53,,,,,,,,
episode,61,7,8,0,wall,,,0,61,,,,,,,,
episode,65,8,4,1,wall,,,1,65,,,,,,,,
episode,72,9,7,0,wall,,,1,72,,,,,,,,
episode,75,10,3,0,self,,,1,75,,,,,,,,
episode,84,11,9,0,self,,,1,84,,,,,,,,
episode,89,12,5,0,self,,,1,89,,,,,,,,
episode,90,13,1,0,self,,,1,90,,,,,,,,
episode,101,14,11,0,self,,,1,101,,,,,,,,
episode,105,15,4,0,self,,,1,105,,,,,,,,
episode,108,16,3,0,self,,,1,108,,,,,,,,
episode,110,17,2,0,self,,,1,110,,,,,,,,
episode,115,18,5,1,wall,,,1,115,,,,,,,,
episode,121,19,6,0,self,,,1,121,,,,,,,,
episode,124,20,3,0,wall,,,1,124,,,,,,,,
episode,126,21,2,0,self,,,1,126,,,,,,,,
episode,140,22,14,0,wall,,,1,140,,,,,,,,
episode,142,23,2,0,wall,,,1,142,,,,,,,,
episode,147,24,5,0,self,,,1,147,,,,,,,,
episode,148,25,1,0,self,,,1,148,,,,,,,,
episode,159,26,11,0,wall,,,1,159,,,,,,,,
episode,162,27,3,0,wall,,,1,162,,,,,,,,
episode,163,28,1,0,wall,,,1,163,,,,,,,,
episode,181,29,18,0,wall,,,1,181,,,,,,,,
episode,183,30,2,0,wall,,,1,183,,,,,,,,
episode,191,31,8,0,wall,,,1,191,,,,,,,,
episode,192,32,1,0,self,,,1,192,,,,,,,,
episode,196,33,4,0,wall,,,1,196,,,,,,,,
episode,198,34,2,0,self,,,1,198,,,,,,,,
episode,203,35,5,0,self,,,1,203,,,,,,,,
episode,207,36,4,0,wall,,,1,207,,,,,,,,
episode,210,37,3,0,wall,,,1,210,,,,,,,,
episode,215,38,5,0,self,,,1,215,,,,,,,,
episode,217,39,2,0,self,,,1,217,,,,,,,,
episode,225,40,8,0,wall,,,1,225,,,,,,,,
episode,230,41,5,0,wall,,,1,230,,,,,,,,
episode,246,42,16,1,wall,,,1,246,,,,,,,,
episode,248,43,2,0,self,,,1,248,,,,,,,,
