event,step,episodes,episode_steps,episode_score,death_reason,avg_score,avg_loss,best_score,replay_size,eval_score,eval_score_median,eval_score_max,eval_reward,eval_death_self,eval_death_wall,eval_death_timeout,best_eval
episode,15,1,15,1,wall,,,1,15,,,,,,,,
episode,36,2,21,0,wall,,,1,36,,,,,,,,
episode,37,3,1,0,wall,,,1,37,,,,,,,,
episode,39,4,2,0,self,,,1,39,,,,,,,,
episode,42,5,3,0,wall,,,1,42,,,,,,,,
episode,45,6,3,0,self,,,1,45,,,,,,,,
episode,54,7,9,0,wall,,,1,54,,,,,,,,
episode,69,8,15,0,self,,,1,69,,,,,,,,
episode,72,9,3,0,wall,,,1,72,,,,,,,,
episode,73,10,1,0,self,,,1,73,,,,,,,,
episode,74,11,1,0,self,,,1,74,,,,,,,,
episode,81,12,7,0,wall,,,1,81,,,,,,,,
episode,83,13,2,0,self,,,1,83,,,,,,,,
episode,88,14,5,0,self,,,1,88,,,,,,,,
episode,106,15,18,0,wall,,,1,106,,,,,,,,
episode,111,16,5,0,wall,,,1,111,,,,,,,,
episode,123,17,12,0,wall,,,1,123,,,,,,,,
episode,126,18,3,0,self,,,1,126,,,,,,,,
episode,135,19,9,0,self,,,1,135,,,,,,,,
episode,137,20,2,0,self,,,1,137,,,,,,,,
episode,140,21,3,0,self,,,1,140,,,,,,,,
episode,154,22,14,0,wall,,,1,154,,,,,,,,
episode,163,23,9,0,wall,,,1,163,,,,,,,,
episode,167,24,4,0,self,,,1,167,,,,,,,,
episode,169,25,2,0,self,,,1,169,,,,,,,,
episode,173,26,4,1,wall,,,1,173,,,,,,,,
episode,174,27,1,0,self,,,1,174,,,,,,,,
episode,224,28,50,0,wall,,,1,224,,,,,,,,
episode,269,29,45,0,self,,,1,269,,,,,,,,
episode,277,30,8,0,wall,,,1,277,,,,,,,,
episode,281,31,4,0,self,,,1,281,,,,,,,,
episode,283,32,2,0,wall,,,1,283,,,,,,,,
episode,291,33,8,0,self,,,1,291,,,,,,,,
episode,297,34,6,0,self,,,1,297,,,,,,,,
episode,299,35,2,0,wall,,,1,299,,,,,,,,
episode,303,36,4,0,self,,,1,303,,,,,,,,
episode,310,37,7,0,wall,,,1,310,,,,,,,,
episode,311,38,1,0,wall,,,1,311,,,,,,,,
episode,318,39,7,0,self,,,1,318,,,,,,,,
episode,319,40,1,0,wall,,,1,319,,,,,,,,
episode,337,41,18,1,wall,,,1,337,,,,,,,,
episode,341,42,4,0,self,,,1,341,,,,,,,,
episode,357,43,16,0,self,,,1,357,,,,,,,,
episode,362,44,5,0,wall,,,1,362,,,,,,,,
episode,376,45,14,0,wall,,,1,376,,,,,,,,
episode,379,46,3,0,self,,,1,379,,,,,,,,
episode,380,47,1,0,self,,,1,380,,,,,,,,
episode,381,48,1,0,wall,,,1,381,,,,,,,,
episode,392,49,11,0,wall,,,1,392,,,,,,,,
episode,394,50,2,0,self,,,1,394,,,,,,,,
episode,395,51,1,0,wall,,,1,395,,,,,,,,
episode,408,52,13,1,self,,,1,408,,,,,,,,
episode,414,53,6,0,self,,,1,414,,,,,,,,
episode,424,54,10,0,self,,,1,424,,,,,,,,
episode,430,55,6,0,self,,,1,430,,,,,,,,
episode,436,56,6,0,self,,,1,436,,,,,,,,
episode,437,57,1,0,wall,,,1,437,,,,,,,,
episode,440,58,3,0,wall,,,1,440,,,,,,,,
episode,444,59,4,0,wall,,,1,444,,,,,,,,
episode,454,60,10,0,self,,,1,454,,,,,,,,
episode,462,61,8,0,wall,,,1,462,,,,,,,,
episode,470,62,8,0,wall,,,1,470,,,,,,,,
episode,472,63,2,0,self,,,1,472,,,,,,,,
episode,477,64,5,0,wall,,,1,477,,,,,,,,
episode,484,65,7,0,self,,,1,484,,,,,,,,
episode,494,66,10,0,wall,,,1,494,,,,,,,,
episode,497,67,3,0,self,,,1,497,,,,,,,,
episode,499,68,2,0,wall,,,1,499,,,,,,,,
episode,508,69,9,0,self,,,1,508,,,,,,,,
episode,515,70,7,0,self,,,1,515,,,,,,,,
episode,521,71,6,0,self,,,1,521,,,,,,,,
episode,522,72,1,0,self,,,1,522,,,,,,,,
episode,523,73,1,0,wall,,,1,523,,,,,,,,
episode,527,74,4,0,wall,,,1,527,,,,,,,,
episode,532,75,5,0,wall,,,1,532,,,,,,,,
episode,539,76,7,0,wall,,,1,539,,,,,,,,
episode,554,77,15,0,wall,,,1,554,,,,,,,,
episode,558,78,4,0,self,,,1,558,,,,,,,,
episode,589,79,31,1,wall,,,1,589,,,,,,,,
episode,599,80,10,0,wall,,,1,599,,,,,,,,
