event,step,episodes,episode_steps,episode_score,death_reason,avg_score,avg_loss,best_score,replay_size,eval_score,eval_score_median,eval_score_max,eval_reward,eval_death_self,eval_death_wall,eval_death_timeout,best_eval
episode,11,1,11,0,wall,,,0,11,,,,,,,,
episode,12,2,1,0,self,,,0,12,,,,,,,,
episode,19,3,7,0,self,,,0,19,,,,,,,,
episode,46,4,27,1,wall,,,1,46,,,,,,,,
episode,59,5,13,0,wall,,,1,59,,,,,,,,
episode,67,6,8,0,self,,,1,67,,,,,,,,
episode,68,7,1,0,self,,,1,68,,,,,,,,
episode,76,8,8,0,self,,,1,76,,,,,,,,
episode,106,9,30,0,self,,,1,106,,,,,,,,
episode,107,10,1,0,self,,,1,107,,,,,,,,
episode,108,11,1,0,self,,,1,108,,,,,,,,
episode,120,12,12,0,wall,,,1,120,,,,,,,,
episode,140,13,20,0,wall,,,1,140,,,,,,,,
episode,146,14,6,0,self,,,1,146,,,,,,,,
episode,152,15,6,0,self,,,1,152,,,,,,,,
episode,155,16,3,0,self,,,1,155,,,,,,,,
episode,160,17,5,0,wall,,,1,160,,,,,,,,
episode,176,18,16,0,self,,,1,176,,,,,,,,
episode,177,19,1,0,wall,,,1,177,,,,,,,,
episode,180,20,3,0,wall,,,1,180,,,,,,,,
episode,182,21,2,0,self,,,1,182,,,,,,,,
episode,195,22,13,2,self,,,2,195,,,,,,,,
episode,203,23,8,0,self,,,2,203,,,,,,,,
episode,204,24,1,0,self,,,2,204,,,,,,,,
episode,213,25,9,0,wall,,,2,213,,,,,,,,
episode,222,26,9,0,wall,,,2,222,,,,,,,,
episode,228,27,6,0,self,,,2,228,,,,,,,,
episode,230,28,2,0,wall,,,2,230,,,,,,,,
episode,232,29,2,0,wall,,,2,232,,,,,,,,
episode,235,30,3,0,wall,,,2,235,,,,,,,,
episode,270,31,35,0,wall,,,2,270,,,,,,,,
episode,271,32,1,0,wall,,,2,271,,,,,,,,
episode,275,33,4,0,wall,,,2,275,,,,,,,,
episode,300,34,25,0,wall,,,2,300,,,,,,,,
episode,301,35,1,0,wall,,,2,301,,,,,,,,
episode,310,36,9,0,self,,,2,310,,,,,,,,
episode,316,37,6,1,wall,,,2,316,,,,,,,,
episode,325,38,9,0,wall,,,2,325,,,,,,,,
episode,334,39,9,0,wall,,,2,334,,,,,,,,
episode,342,40,8,0,wall,,,2,342,,,,,,,,
episode,359,41,17,0,self,,,2,359,,,,,,,,
episode,367,42,8,0,wall,,,2,367,,,,,,,,
episode,375,43,8,0,self,,,2,375,,,,,,,,
episode,378,44,3,0,self,,,2,378,,,,,,,,
episode,384,45,6,0,self,,,2,384,,,,,,,,
episode,394,46,10,1,wall,,,2,394,,,,,,,,
episode,408,47,14,0,self,,,2,408,,,,,,,,
episode,411,48,3,0,self,,,2,411,,,,,,,,
episode,412,49,1,0,self,,,2,412,,,,,,,,
episode,422,50,10,0,wall,,,2,422,,,,,,,,
episode,428,51,6,0,self,,,2,428,,,,,,,,
episode,429,52,1,0,wall,,,2,429,,,,,,,,
episode,433,53,4,0,wall,,,2,433,,,,,,,,
episode,434,54,1,0,wall,,,2,434,,,,,,,,
episode,437,55,3,0,self,,,2,437,,,,,,,,
episode,449,56,12,0,self,,,2,449,,,,,,,,
episode,457,57,8,0,wall,,,2,457,,,,,,,,
episode,465,58,8,1,wall,,,2,465,,,,,,,,
episode,475,59,10,1,self,,,2,475,,,,,,,,
episode,480,60,5,0,self,,,2,480,,,,,,,,
episode,484,61,4,0,self,,,2,484,,,,,,,,
episode,487,62,3,0,self,,,2,487,,,,,,,,
episode,492,63,5,0,self,,,2,492,,,,,,,,
episode,503,64,11,0,wall,,,2,503,,,,,,,,
episode,510,65,7,0,self,,,2,510,,,,,,,,
episode,524,66,14,0,self,,,2,524,,,,,,,,
episode,527,67,3,0,self,,,2,527,,,,,,,,
episode,533,68,6,0,self,,,2,533,,,,,,,,
episode,539,69,6,0,self,,,2,539,,,,,,,,
episode,548,70,9,0,wall,,,2,548,,,,,,,,
episode,549,71,1,0,wall,,,2,549,,,,,,,,
episode,551,72,2,0,self,,,2,551,,,,,,,,
episode,553,73,2,0,self,,,2,553,,,,,,,,
episode,560,74,7,0,wall,,,2,560,,,,,,,,
episode,576,75,16,0,wall,,,2,576,,,,,,,,
episode,578,76,2,0,self,,,2,578,,,,,,,,
episode,579,77,1,0,wall,,,2,579,,,,,,,,
episode,585,78,6,1,self,,,2,585,,,,,,,,
episode,588,79,3,0,wall,,,2,588,,,,,,,,
episode,589,80,1,0,wall,,,2,589,,,,,,,,
episode,610,81,21,0,self,,,2,610,,,,,,,,
episode,613,82,3,0,wall,,,2,613,,,,,,,,
episode,616,83,3,0,self,,,2,616,,,,,,,,
episode,619,84,3,0,wall,,,2,619,,,,,,,,
episode,638,85,19,0,wall,,,2,638,,,,,,,,
episode,641,86,3,0,wall,,,2,641,,,,,,,,
episode,645,87,4,0,self,,,2,645,,,,,,,,
episode,648,88,3,0,wall,,,2,648,,,,,,,,
episode,653,89,5,0,wall,,,2,653,,,,,,,,
episode,661,90,8,1,self,,,2,661,,,,,,,,
