event,step,episodes,episode_steps,episode_score,death_reason,avg_score,avg_loss,best_score,replay_size,eval_score,eval_score_median,eval_score_max,eval_reward,eval_death_self,eval_death_wall,eval_death_timeout,best_eval
episode,6,1,6,0,wall,,,0,6,,,,,,,,
episode,9,2,3,0,wall,,,0,9,,,,,,,,
episode,11,3,2,0,self,,,0,11,,,,,,,,
episode,31,4,20,0,self,,,0,31,,,,,,,,
episode,34,5,3,0,wall,,,0,34,,,,,,,,
episode,84,6,50,0,timeout,,,0,84,,,,,,,,
episode,86,7,2,0,self,,,0,86,,,,,,,,
episode,99,8,13,0,self,,,0,99,,,,,,,,
episode,101,9,2,0,self,,,0,101,,,,,,,,
episode,102,10,1,0,self,,,0,102,,,,,,,,
episode,110,11,8,0,self,,,0,110,,,,,,,,
episode,118,12,8,0,self,,,0,118,,,,,,,,
episode,122,13,4,0,wall,,,0,122,,,,,,,,
episode,131,14,9,0,wall,,,0,131,,,,,,,,
episode,144,15,13,1,wall,,,1,144,,,,,,,,
episode,150,16,6,0,self,,,1,150,,,,,,,,
episode,162,17,12,0,self,,,1,162,,,,,,,,
episode,167,18,5,0,self,,,1,167,,,,,,,,
episode,179,19,12,0,wall,,,1,179,,,,,,,,
episode,187,20,8,0,wall,,,1,187,,,,,,,,
episode,201,21,14,0,wall,,,1,201,,,,,,,,
episode,206,22,5,0,wall,,,1,206,,,,,,,,
episode,214,23,8,0,wall,,,1,214,,,,,,,,
episode,224,24,10,0,self,,,1,224,,,,,,,,
episode,227,25,3,0,self,,,1,227,,,,,,,,
episode,232,26,5,0,self,,,1,232,,,,,,,,
episode,257,27,25,0,wall,,,1,257,,,,,,,,
episode,259,28,2,0,self,,,1,259,,,,,,,,
episode,266,29,7,0,wall,,,1,266,,,,,,,,
episode,273,30,7,0,self,,,1,273,,,,,,,,
episode,284,31,11,0,wall,,,1,284,,,,,,,,
episode,288,32,4,0,self,,,1,288,,,,,,,,
episode,299,33,11,0,wall,,,1,299,,,,,,,,
episode,309,34,10,0,self,,,1,309,,,,,,,,
episode,314,35,5,0,wall,,,1,314,,,,,,,,
episode,323,36,9,0,wall,,,1,323,,,,,,,,
episode,336,37,13,1,self,,,1,336,,,,,,,,
episode,338,38,2,0,self,,,1,338,,,,,,,,
episode,340,39,2,0,wall,,,1,340,,,,,,,,
episode,343,40,3,0,wall,,,1,343,,,,,,,,
episode,354,41,11,0,wall,,,1,354,,,,,,,,
episode,362,42,8,0,wall,,,1,362,,,,,,,,
episode,374,43,12,0,wall,,,1,374,,,,,,,,
episode,378,44,4,0,self,,,1,378,,,,,,,,
episode,381,45,3,0,self,,,1,381,,,,,,,,
episode,382,46,1,0,self,,,1,382,,,,,,,,
episode,384,47,2,0,wall,,,1,384,,,,,,,,
episode,386,48,2,0,self,,,1,386,,,,,,,,
episode,392,49,6,0,self,,,1,392,,,,,,,,
episode,393,50,1,0,self,,,1,393,,,,,,,,
episode,398,51,5,0,self,,,1,398,,,,,,,,
episode,403,52,5,0,wall,,,1,403,,,,,,,,
episode,409,53,6,0,self,,,1,409,,,,,,,,
episode,424,54,15,0,wall,,,1,424,,,,,,,,
episode,425,55,1,0,self,,,1,425,,,,,,,,
episode,426,56,1,0,wall,,,1,426,,,,,,,,
episode,429,57,3,0,wall,,,1,429,,,,,,,,
episode,431,58,2,0,self,,,1,431,,,,,,,,
episode,437,59,6,0,self,,,1,437,,,,,,,,
episode,445,60,8,0,self,,,1,445,,,,,,,,
episode,452,61,7,0,wall,,,1,452,,,,,,,,
