generation,best_score,best_coverage,avg_score,avg_coverage,median_score,min_score,max_score,best_ever_score,best_ever_coverage,elite_avg_score,sigma,gen_time,total_time,single_best_score,single_best_coverage
1,55.4,0.584,26.921333333333333,0.2992133333333334,30.4,0.2,55.4,55.4,0.584,49.812,0.1,9.13,9.17,65,0.68
2,53.8,0.568,31.43,0.3443,33.6,0.2,53.8,55.4,0.584,49.24,0.1,8.88,18.08,61,0.64
3,54.2,0.5720000000000001,31.348666666666666,0.34348666666666666,34.8,0.6,54.2,55.4,0.584,48.907999999999994,0.1,9.09,27.19,65,0.68
4,54.4,0.5740000000000001,29.62,0.3262,30.700000000000003,0.0,54.4,55.4,0.584,49.652,0.1,8.57,35.78,63,0.66
5,55.4,0.584,30.34,0.33340000000000003,33.6,0.0,55.4,55.4,0.584,49.076,0.1,8.80,44.61,62,0.65
6,53.0,0.56,30.252666666666663,0.33252666666666664,33.1,0.0,53.0,55.4,0.584,49.38399999999999,0.1,8.78,53.41,63,0.66
7,53.6,0.5660000000000001,30.20066666666667,0.33200666666666667,34.0,0.0,53.6,55.4,0.584,49.43600000000001,0.1,8.71,62.15,60,0.63
8,54.2,0.572,30.112000000000002,0.33112,33.1,0.2,54.2,55.4,0.584,49.552,0.1,11.86,74.04,67,0.7
