generation,best_score,best_coverage,avg_score,avg_coverage,median_score,min_score,max_score,best_ever_score,best_ever_coverage,elite_avg_score,sigma,gen_time,total_time
1,39.0,0.42000000000000004,13.871999999999998,0.16872000000000004,11.6,0.0,39.0,39.0,0.42000000000000004,32.31,0.1,15.27,15.29
2,39.8,0.42800000000000005,14.645999999999999,0.17646000000000003,12.3,0.0,39.8,39.8,0.42800000000000005,33.510000000000005,0.1,15.42,30.72
3,40.6,0.43599999999999994,16.916,0.19916000000000003,16.5,0.0,40.6,40.6,0.43599999999999994,35.910000000000004,0.1,16.40,47.13
4,40.4,0.434,15.77,0.18770000000000003,16.6,0.0,40.4,40.6,0.43599999999999994,34.230000000000004,0.1,17.15,64.29
5,41.8,0.44800000000000006,17.566000000000003,0.20566000000000006,17.4,0.0,41.8,41.8,0.44800000000000006,34.88999999999999,0.1,18.79,83.09
6,42.4,0.454,16.134,0.19134000000000004,16.5,0.0,42.4,42.4,0.454,34.83,0.1,15.52,98.62
7,40.8,0.438,17.087999999999997,0.2008800000000001,16.8,0.0,40.8,42.4,0.454,34.68,0.1,14.93,113.55
8,44.4,0.47400000000000003,17.676,0.20676000000000005,17.2,0.0,44.4,44.4,0.47400000000000003,36.629999999999995,0.1,15.11,128.68
9,42.8,0.458,17.323999999999998,0.20324000000000006,18.1,0.0,42.8,44.4,0.47400000000000003,35.830000000000005,0.1,16.29,144.97
10,45.0,0.48,16.93,0.19930000000000003,15.8,0.0,45.0,45.0,0.48,36.94,0.1,15.15,160.13
11,42.4,0.454,17.598,0.20598000000000002,16.6,0.0,42.4,45.0,0.48,36.3,0.1,16.34,176.48
12,43.8,0.46799999999999997,17.894000000000002,0.20894000000000004,15.6,0.0,43.8,45.0,0.48,36.86,0.1,17.56,194.05
13,41.2,0.442,22.067999999999998,0.25068,23.9,0.0,41.2,45.0,0.48,37.39,0.08000000000000002,17.85,211.90
14,42.4,0.454,22.647999999999996,0.25648,25.6,0.0,42.4,45.0,0.48,37.040000000000006,0.08000000000000002,17.91,229.82
15,40.8,0.438,22.846000000000004,0.2584600000000001,23.8,0.0,40.8,45.0,0.48,37.449999999999996,0.08000000000000002,18.69,248.51
16,43.0,0.4600000000000001,22.296,0.2529600000000001,24.5,0.0,43.0,45.0,0.48,38.25000000000001,0.08000000000000002,17.22,265.74
