generation,best_score,best_coverage,avg_score,avg_coverage,median_score,min_score,max_score,best_ever_score,best_ever_coverage,elite_avg_score,sigma,gen_time,total_time
1,53.2,0.562,24.425,0.27425000000000005,25.0,0.0,53.2,53.2,0.562,44.5,0.1,5.82,5.84
2,51.0,0.54,27.364,0.30364,30.200000000000003,0.0,51.0,53.2,0.562,46.535000000000004,0.1,5.79,11.65
3,52.6,0.556,28.618999999999996,0.31618999999999997,32.400000000000006,0.0,52.6,53.2,0.562,45.585,0.1,5.80,17.47
4,49.4,0.524,28.479,0.31479,35.0,0.0,49.4,53.2,0.562,45.68,0.1,5.64,23.12
5,51.2,0.542,29.149,0.32149,33.5,0.0,51.2,53.2,0.562,45.654999999999994,0.1,6.06,29.20
6,50.4,0.534,29.000999999999998,0.32001000000000007,34.9,0.0,50.4,53.2,0.562,46.385000000000005,0.1,6.34,35.56
7,51.4,0.544,28.868999999999996,0.31869,34.7,0.0,51.4,53.2,0.562,45.12,0.1,6.22,41.81
8,50.6,0.536,29.073,0.32072999999999996,33.8,0.0,50.6,53.2,0.562,46.114999999999995,0.1,6.26,48.09
9,50.8,0.538,26.499000000000002,0.29499000000000003,30.6,0.0,50.8,53.2,0.562,45.480000000000004,0.1,6.01,54.11
10,50.4,0.534,28.56,0.31560000000000005,34.2,0.0,50.4,53.2,0.562,46.885000000000005,0.1,5.91,60.04
11,50.6,0.5359999999999999,29.022,0.32022,34.2,0.0,50.6,53.2,0.562,46.185,0.1,6.16,66.22
12,50.6,0.5359999999999999,25.564,0.28564000000000006,30.700000000000003,0.0,50.6,53.2,0.562,45.015,0.1,5.81,72.06
13,49.8,0.5279999999999999,32.15,0.3515,37.3,0.2,49.8,53.2,0.562,46.089999999999996,0.08000000000000002,6.20,78.27
14,53.4,0.5640000000000001,30.750999999999998,0.33751,36.2,0.0,53.4,53.4,0.5640000000000001,46.040000000000006,0.08000000000000002,6.07,84.36
15,52.4,0.554,33.215,0.36215,39.3,0.0,52.4,53.4,0.5640000000000001,46.415,0.08000000000000002,6.08,90.46
16,52.6,0.556,30.803,0.33803000000000005,35.8,0.0,52.6,53.4,0.5640000000000001,47.06,0.08000000000000002,6.28,96.76
17,50.4,0.534,30.691999999999997,0.33692,36.2,0.0,50.4,53.4,0.5640000000000001,45.935,0.08000000000000002,6.20,102.98
18,51.6,0.546,30.407000000000004,0.33407,34.4,0.0,51.6,53.4,0.5640000000000001,46.404999999999994,0.08000000000000002,5.99,108.98
19,51.0,0.54,32.622,0.35622,37.8,0.0,51.0,53.4,0.5640000000000001,46.775,0.08000000000000002,5.97,114.97
20,49.6,0.526,33.069,0.36069,38.8,0.0,49.6,53.4,0.5640000000000001,46.355,0.08000000000000002,6.09,121.07
21,52.6,0.556,33.431999999999995,0.36432000000000003,37.1,0.0,52.6,53.4,0.5640000000000001,46.815,0.08000000000000002,6.27,127.35
22,52.4,0.554,33.439,0.36439000000000005,39.6,0.0,52.4,53.4,0.5640000000000001,47.385000000000005,0.08000000000000002,6.35,133.72
23,51.8,0.548,34.215,0.37215000000000004,39.4,0.0,51.8,53.4,0.5640000000000001,47.67,0.08000000000000002,6.49,140.23
24,53.4,0.564,31.951000000000004,0.34951,36.2,0.0,53.4,53.4,0.5640000000000001,47.045,0.08000000000000002,6.34,146.59
25,51.2,0.542,32.643,0.35643,37.7,0.0,51.2,53.4,0.5640000000000001,46.785000000000004,0.08000000000000002,6.14,152.75
26,52.6,0.556,31.327999999999996,0.34328000000000003,35.900000000000006,0.0,52.6,53.4,0.5640000000000001,46.61,0.08000000000000002,6.28,159.04
27,51.8,0.548,32.322,0.35322000000000003,37.3,0.2,51.8,53.4,0.5640000000000001,46.35,0.08000000000000002,6.06,165.12
28,51.0,0.54,32.619,0.35619,37.9,0.0,51.0,53.4,0.5640000000000001,46.42,0.08000000000000002,6.11,171.25
29,51.8,0.548,31.666999999999998,0.34667000000000003,37.9,0.2,51.8,53.4,0.5640000000000001,46.93,0.08000000000000002,6.09,177.36
30,50.6,0.5359999999999999,32.273,0.35273,38.8,0.0,50.6,53.4,0.5640000000000001,46.67999999999999,0.08000000000000002,6.38,183.76
31,49.4,0.524,32.367,0.35367000000000004,37.6,0.0,49.4,53.4,0.5640000000000001,45.709999999999994,0.08000000000000002,6.11,189.89
32,52.8,0.558,31.813000000000002,0.34813000000000005,36.8,0.2,52.8,53.4,0.5640000000000001,46.42,0.08000000000000002,6.11,196.02
33,53.8,0.5679999999999998,31.787,0.34787,36.5,0.0,53.8,53.8,0.5679999999999998,46.160000000000004,0.08000000000000002,6.36,202.41
34,51.0,0.54,32.067,0.35067,36.8,0.0,51.0,53.8,0.5679999999999998,46.714999999999996,0.08000000000000002,6.20,208.63
35,52.4,0.554,33.772999999999996,0.36773000000000006,38.1,0.0,52.4,53.8,0.5679999999999998,47.23,0.08000000000000002,6.52,215.18
36,49.8,0.528,30.32,0.3332,34.5,0.0,49.8,53.8,0.5679999999999998,46.425,0.08000000000000002,6.12,221.32
37,51.6,0.5459999999999999,32.289,0.35289000000000004,36.1,0.2,51.6,53.8,0.5679999999999998,46.77,0.08000000000000002,6.43,227.77
38,52.4,0.5539999999999999,33.861,0.36861000000000005,39.0,0.0,52.4,53.8,0.5679999999999998,46.815,0.08000000000000002,6.29,234.09
39,52.2,0.5519999999999999,32.418,0.35418,36.3,0.0,52.2,53.8,0.5679999999999998,46.7,0.08000000000000002,6.18,240.29
40,54.2,0.572,30.668000000000003,0.3366800000000001,35.1,0.0,54.2,54.2,0.572,46.42,0.08000000000000002,6.07,246.38
41,52.0,0.55,31.873999999999995,0.34874000000000005,36.6,0.2,52.0,54.2,0.572,46.565,0.08000000000000002,6.24,252.64
42,51.6,0.546,32.126000000000005,0.35126000000000007,36.6,0.4,51.6,54.2,0.572,47.489999999999995,0.08000000000000002,5.98,258.64
43,51.6,0.546,33.836000000000006,0.36835999999999997,38.6,0.0,51.6,54.2,0.572,46.95,0.08000000000000002,5.94,264.59
44,50.6,0.536,32.069,0.35069,36.400000000000006,0.0,50.6,54.2,0.572,46.475,0.08000000000000002,6.18,270.78
