generation,best_score,best_coverage,avg_score,avg_coverage,median_score,min_score,max_score,best_ever_score,best_ever_coverage,elite_avg_score,sigma,gen_time,total_time,single_best_score,single_best_coverage
1,56.4,0.5940000000000001,34.232,0.37232,39.0,0.6,56.4,56.4,0.5940000000000001,49.872,0.1,8.78,8.81,64,0.67
2,54.4,0.5740000000000001,31.806000000000004,0.34806000000000004,35.9,0.0,54.4,56.4,0.5940000000000001,48.7,0.1,8.30,17.14,66,0.69
3,53.8,0.568,33.58866666666667,0.36588666666666664,37.0,0.0,53.8,56.4,0.5940000000000001,50.52,0.1,8.50,25.67,66,0.69
4,55.2,0.5820000000000001,32.43666666666667,0.35436666666666666,37.3,0.0,55.2,56.4,0.5940000000000001,50.56,0.1,8.53,34.23,63,0.66
5,55.2,0.5820000000000001,31.295999999999996,0.34296000000000004,36.6,0.0,55.2,56.4,0.5940000000000001,50.952,0.1,8.56,42.82,66,0.69
6,54.8,0.578,32.678,0.35678,36.2,0.0,54.8,56.4,0.5940000000000001,50.583999999999996,0.1,8.45,51.30,65,0.68
