generation,best_score,best_coverage,avg_score,avg_coverage,median_score,min_score,max_score,best_ever_score,best_ever_coverage,elite_avg_score,sigma,gen_time,total_time,single_best_score,single_best_coverage
1,54.8,0.578,37.525999999999996,0.40526,40.6,0.0,54.8,54.8,0.578,50.623999999999995,0.1,9.30,9.34,62,0.65
2,55.4,0.584,36.81933333333334,0.39819333333333334,40.6,0.0,55.4,55.4,0.584,50.75200000000001,0.1,9.10,18.46,63,0.66
3,56.2,0.5919999999999999,35.43066666666666,0.3843066666666667,39.2,0.0,56.2,56.2,0.5919999999999999,50.924,0.1,9.50,27.99,69,0.72
4,54.4,0.5740000000000001,35.635333333333335,0.3863533333333333,38.7,0.0,54.4,56.2,0.5919999999999999,51.376,0.1,9.57,37.60,62,0.65
5,55.8,0.588,35.94866666666667,0.3894866666666667,39.5,0.0,55.8,56.2,0.5919999999999999,51.028,0.1,9.26,46.90,64,0.67
6,56.4,0.5940000000000001,35.152,0.38152,37.4,0.0,56.4,56.4,0.5940000000000001,51.123999999999995,0.1,9.40,56.33,66,0.69
7,55.4,0.584,35.282666666666664,0.38282666666666665,39.4,0.0,55.4,56.4,0.5940000000000001,51.4,0.1,9.09,65.46,63,0.66
8,54.8,0.5780000000000001,34.89333333333333,0.37893333333333334,39.5,0.0,54.8,56.4,0.5940000000000001,50.435999999999986,0.1,9.49,74.99,62,0.65
9,54.8,0.5780000000000001,34.967333333333336,0.37967333333333336,38.8,0.0,54.8,56.4,0.5940000000000001,50.96799999999999,0.1,9.55,84.58,66,0.69
10,55.0,0.58,34.526666666666664,0.3752666666666667,38.2,0.2,55.0,56.4,0.5940000000000001,50.756,0.1,9.64,94.26,63,0.66
11,54.0,0.5700000000000001,34.71133333333333,0.37711333333333336,37.3,0.0,54.0,56.4,0.5940000000000001,50.188,0.1,9.31,103.60,62,0.65
12,55.4,0.584,34.071333333333335,0.37071333333333334,37.6,0.2,55.4,56.4,0.5940000000000001,51.02000000000001,0.1,9.24,112.88,67,0.7
13,54.6,0.5760000000000001,37.37733333333333,0.4037733333333334,40.4,0.0,54.6,56.4,0.5940000000000001,50.952000000000005,0.08000000000000002,9.70,122.61,63,0.66
14,56.8,0.598,38.6,0.41600000000000004,42.7,0.6,56.8,56.8,0.598,51.992000000000004,0.08000000000000002,9.89,132.54,65,0.68
15,58.0,0.61,39.198,0.42197999999999997,42.7,0.4,58.0,58.0,0.61,51.732000000000006,0.08000000000000002,10.04,142.62,65,0.68
16,55.0,0.5800000000000001,40.60666666666667,0.43606666666666666,43.9,0.6,55.0,58.0,0.61,51.623999999999995,0.08000000000000002,10.26,152.91,66,0.69
17,55.0,0.5800000000000001,38.98,0.41980000000000006,41.599999999999994,0.2,55.0,58.0,0.61,52.032,0.08000000000000002,10.02,162.97,67,0.7
18,55.2,0.5820000000000001,38.99066666666667,0.4199066666666667,42.4,0.0,55.2,58.0,0.61,51.74,0.08000000000000002,9.87,172.88,66,0.69
