generation,best_score,best_coverage,avg_score,avg_coverage,median_score,min_score,max_score,best_ever_score,best_ever_coverage,elite_avg_score,sigma,gen_time,total_time
1,41.8,0.44799999999999995,17.328999999999997,0.20329,17.9,0.0,41.8,41.8,0.44799999999999995,34.529999999999994,0.1,6.55,6.58
2,42.6,0.45599999999999996,17.659000000000002,0.20659,17.8,0.0,42.6,42.6,0.45599999999999996,35.31,0.1,6.30,12.90
3,47.6,0.506,16.901999999999997,0.19902,17.2,0.0,47.6,47.6,0.506,34.754999999999995,0.1,6.07,18.99
4,42.2,0.45200000000000007,18.461,0.21461000000000005,18.700000000000003,0.0,42.2,47.6,0.506,36.415,0.1,6.33,25.34
5,43.2,0.4619999999999999,19.355999999999998,0.22356,20.4,0.0,43.2,47.6,0.506,36.440000000000005,0.1,4.98,30.34
6,42.8,0.458,20.714000000000002,0.23714,22.7,0.0,42.8,47.6,0.506,36.895,0.1,5.24,35.60
7,45.8,0.4880000000000001,19.995,0.22995,21.4,0.0,45.8,47.6,0.506,37.425,0.1,5.67,41.29
8,42.2,0.45199999999999996,19.29,0.2229,20.6,0.0,42.2,47.6,0.506,36.98,0.1,5.05,46.37
9,41.2,0.442,20.782000000000004,0.23782000000000003,21.700000000000003,0.0,41.2,47.6,0.506,37.475,0.1,5.46,51.84
10,44.0,0.47000000000000003,20.011,0.23011000000000004,22.700000000000003,0.0,44.0,47.6,0.506,37.675,0.1,5.10,56.96
11,47.6,0.506,21.414,0.24413999999999997,23.6,0.0,47.6,47.6,0.506,38.19,0.1,5.22,62.20
12,43.2,0.462,19.31,0.22310000000000002,20.8,0.0,43.2,47.6,0.506,36.03,0.1,5.11,67.33
13,43.0,0.45999999999999996,22.327,0.25327,24.700000000000003,0.0,43.0,47.6,0.506,37.35,0.08000000000000002,5.53,72.88
14,47.2,0.502,24.075999999999993,0.27075999999999995,27.299999999999997,0.0,47.2,47.6,0.506,38.54,0.08000000000000002,6.89,79.79
15,47.0,0.5,23.791999999999998,0.26791999999999994,27.5,0.0,47.0,47.6,0.506,38.835,0.08000000000000002,6.66,86.47
