event,step,episodes,episode_steps,episode_score,death_reason,avg_score,avg_loss,best_score,replay_size,eval_score,eval_score_median,eval_score_max,eval_reward,eval_death_self,eval_death_wall,eval_death_timeout,best_eval
episode,4,1,4,0,wall,,,0,4,,,,,,,,
episode,11,2,7,0,wall,,,0,11,,,,,,,,
episode,26,3,15,1,wall,,,1,26,,,,,,,,
episode,36,4,10,0,wall,,,1,36,,,,,,,,
episode,42,5,6,0,wall,,,1,42,,,,,,,,
episode,49,6,7,0,wall,,,1,49,,,,,,,,
episode,58,7,9,0,wall,,,1,58,,,,,,,,
episode,69,8,11,0,wall,,,1,69,,,,,,,,
episode,78,9,9,0,wall,,,1,78,,,,,,,,
episode,81,10,3,0,wall,,,1,81,,,,,,,,
episode,93,11,12,0,wall,,,1,93,,,,,,,,
episode,102,12,9,0,wall,,,1,102,,,,,,,,
episode,104,13,2,0,wall,,,1,104,,,,,,,,
episode,109,14,5,0,wall,,,1,109,,,,,,,,
episode,113,15,4,0,wall,,,1,113,,,,,,,,
episode,122,16,9,0,wall,,,1,122,,,,,,,,
episode,127,17,5,0,wall,,,1,127,,,,,,,,
episode,131,18,4,0,wall,,,1,131,,,,,,,,
episode,134,19,3,0,wall,,,1,134,,,,,,,,
episode,141,20,7,0,wall,,,1,141,,,,,,,,
episode,150,21,9,0,wall,,,1,150,,,,,,,,
episode,153,22,3,0,wall,,,1,153,,,,,,,,
episode,160,23,7,0,wall,,,1,160,,,,,,,,
episode,169,24,9,0,wall,,,1,169,,,,,,,,
episode,172,25,3,0,wall,,,1,172,,,,,,,,
episode,177,26,5,0,wall,,,1,177,,,,,,,,
episode,185,27,8,0,wall,,,1,185,,,,,,,,
episode,189,28,4,0,wall,,,1,189,,,,,,,,
episode,192,29,3,0,wall,,,1,192,,,,,,,,
episode,195,30,3,0,wall,,,1,195,,,,,,,,
episode,202,31,7,0,wall,,,1,202,,,,,,,,
episode,211,32,9,0,wall,,,1,211,,,,,,,,
episode,219,33,8,0,wall,,,1,219,,,,,,,,
episode,221,34,2,0,wall,,,1,221,,,,,,,,
episode,227,35,6,0,wall,,,1,227,,,,,,,,
episode,231,36,4,0,wall,,,1,231,,,,,,,,
episode,240,37,9,0,wall,,,1,240,,,,,,,,
episode,248,38,8,0,wall,,,1,248,,,,,,,,
episode,250,39,2,0,wall,,,1,250,,,,,,,,
episode,257,40,7,0,wall,,,1,257,,,,,,,,
episode,266,41,9,0,wall,,,1,266,,,,,,,,
episode,273,42,7,0,wall,,,1,273,,,,,,,,
episode,282,43,9,0,wall,,,1,282,,,,,,,,
episode,288,44,6,0,wall,,,1,288,,,,,,,,
episode,290,45,2,0,wall,,,1,290,,,,,,,,
episode,293,46,3,0,wall,,,1,293,,,,,,,,
episode,297,47,4,0,wall,,,1,297,,,,,,,,
episode,306,48,9,0,wall,,,1,306,,,,,,,,
episode,322,49,16,0,wall,,,1,322,,,,,,,,
episode,327,50,5,0,wall,,,1,327,,,,,,,,
episode,329,51,2,0,wall,,,1,329,,,,,,,,
episode,335,52,6,0,wall,,,1,335,,,,,,,,
episode,342,53,7,0,wall,,,1,342,,,,,,,,
episode,351,54,9,0,wall,,,1,351,,,,,,,,
episode,360,55,9,0,wall,,,1,360,,,,,,,,
episode,369,56,9,0,wall,,,1,369,,,,,,,,
episode,378,57,9,0,wall,,,1,378,,,,,,,,
episode,387,58,9,0,wall,,,1,387,,,,,,,,
episode,395,59,8,0,wall,,,1,395,,,,,,,,
episode,401,60,6,0,wall,,,1,401,,,,,,,,
episode,410,61,9,0,wall,,,1,410,,,,,,,,
episode,419,62,9,0,wall,,,1,419,,,,,,,,
episode,422,63,3,0,wall,,,1,422,,,,,,,,
episode,427,64,5,0,wall,,,1,427,,,,,,,,
episode,430,65,3,0,wall,,,1,430,,,,,,,,
episode,436,66,6,0,wall,,,1,436,,,,,,,,
episode,439,67,3,0,wall,,,1,439,,,,,,,,
episode,450,68,11,0,wall,,,1,450,,,,,,,,
episode,454,69,4,0,wall,,,1,454,,,,,,,,
episode,457,70,3,0,wall,,,1,457,,,,,,,,
episode,459,71,2,0,wall,,,1,459,,,,,,,,
episode,464,72,5,0,wall,,,1,464,,,,,,,,
episode,467,73,3,0,wall,,,1,467,,,,,,,,
episode,471,74,4,0,wall,,,1,471,,,,,,,,
episode,475,75,4,0,wall,,,1,475,,,,,,,,
episode,483,76,8,0,wall,,,1,483,,,,,,,,
episode,489,77,6,0,wall,,,1,489,,,,,,,,
episode,495,78,6,0,wall,,,1,495,,,,,,,,
episode,500,79,5,0,wall,,,1,500,,,,,,,,
episode,506,80,6,0,wall,,,1,506,,,,,,,,
episode,510,81,4,0,wall,,,1,510,,,,,,,,
episode,512,82,2,0,wall,,,1,512,,,,,,,,
episode,517,83,5,0,wall,,,1,517,,,,,,,,
episode,526,84,9,0,wall,,,1,526,,,,,,,,
episode,535,85,9,0,wall,,,1,535,,,,,,,,
episode,541,86,6,0,wall,,,1,541,,,,,,,,
episode,550,87,9,0,wall,,,1,550,,,,,,,,
episode,553,88,3,0,wall,,,1,553,,,,,,,,
episode,558,89,5,0,wall,,,1,558,,,,,,,,
episode,567,90,9,0,wall,,,1,567,,,,,,,,
episode,573,91,6,0,wall,,,1,573,,,,,,,,
episode,575,92,2,0,wall,,,1,575,,,,,,,,
episode,579,93,4,0,wall,,,1,579,,,,,,,,
episode,587,94,8,0,wall,,,1,587,,,,,,,,
episode,596,95,9,0,wall,,,1,596,,,,,,,,
episode,602,96,6,1,wall,,,1,602,,,,,,,,
episode,604,97,2,0,wall,,,1,604,,,,,,,,
episode,611,98,7,0,wall,,,1,611,,,,,,,,
episode,615,99,4,0,wall,,,1,615,,,,,,,,
episode,621,100,6,1,wall,,,1,621,,,,,,,,
episode,625,101,4,0,wall,,,1,625,,,,,,,,
episode,629,102,4,0,wall,,,1,629,,,,,,,,
episode,637,103,8,0,wall,,,1,637,,,,,,,,
episode,646,104,9,0,wall,,,1,646,,,,,,,,
episode,648,105,2,0,wall,,,1,648,,,,,,,,
episode,650,106,2,0,wall,,,1,650,,,,,,,,
episode,658,107,8,0,wall,,,1,658,,,,,,,,
episode,664,108,6,0,wall,,,1,664,,,,,,,,
episode,667,109,3,0,wall,,,1,667,,,,,,,,
episode,675,110,8,0,wall,,,1,675,,,,,,,,
episode,691,111,16,1,wall,,,1,691,,,,,,,,
episode,699,112,8,0,wall,,,1,699,,,,,,,,
episode,708,113,9,0,wall,,,1,708,,,,,,,,
episode,712,114,4,0,wall,,,1,712,,,,,,,,
episode,716,115,4,0,wall,,,1,716,,,,,,,,
episode,721,116,5,0,wall,,,1,721,,,,,,,,
episode,729,117,8,0,wall,,,1,729,,,,,,,,
episode,736,118,7,1,wall,,,1,736,,,,,,,,
episode,744,119,8,0,wall,,,1,744,,,,,,,,
episode,746,120,2,0,wall,,,1,746,,,,,,,,
episode,754,121,8,0,wall,,,1,754,,,,,,,,
episode,762,122,8,0,wall,,,1,762,,,,,,,,
episode,769,123,7,0,wall,,,1,769,,,,,,,,
episode,778,124,9,0,wall,,,1,778,,,,,,,,
episode,785,125,7,0,wall,,,1,785,,,,,,,,
episode,790,126,5,0,wall,,,1,790,,,,,,,,
episode,795,127,5,1,wall,,,1,795,,,,,,,,
episode,802,128,7,0,wall,,,1,802,,,,,,,,
episode,807,129,5,0,wall,,,1,807,,,,,,,,
episode,813,130,6,0,wall,,,1,813,,,,,,,,
episode,821,131,8,0,wall,,,1,821,,,,,,,,
episode,824,132,3,0,wall,,,1,824,,,,,,,,
episode,831,133,7,0,wall,,,1,831,,,,,,,,
episode,840,134,9,0,wall,,,1,840,,,,,,,,
episode,844,135,4,0,wall,,,1,844,,,,,,,,
episode,851,136,7,0,wall,,,1,851,,,,,,,,
episode,859,137,8,0,wall,,,1,859,,,,,,,,
episode,868,138,9,0,wall,,,1,868,,,,,,,,
episode,876,139,8,0,wall,,,1,876,,,,,,,,
episode,884,140,8,0,wall,,,1,884,,,,,,,,
episode,886,141,2,0,wall,,,1,886,,,,,,,,
episode,895,142,9,0,wall,,,1,895,,,,,,,,
episode,904,143,9,0,wall,,,1,904,,,,,,,,
episode,913,144,9,0,wall,,,1,913,,,,,,,,
episode,918,145,5,0,wall,,,1,918,,,,,,,,
episode,920,146,2,0,wall,,,1,920,,,,,,,,
episode,938,147,18,0,wall,,,1,938,,,,,,,,
episode,947,148,9,0,wall,,,1,947,,,,,,,,
episode,949,149,2,0,wall,,,1,949,,,,,,,,
episode,955,150,6,0,wall,,,1,955,,,,,,,,
episode,963,151,8,0,wall,,,1,963,,,,,,,,
episode,972,152,9,0,wall,,,1,972,,,,,,,,
episode,977,153,5,0,wall,,,1,977,,,,,,,,
episode,990,154,13,0,wall,,,1,990,,,,,,,,
episode,998,155,8,0,wall,,,1,998,,,,,,,,
episode,1000,156,2,0,wall,,,1,1000,,,,,,,,
episode,1008,157,8,0,wall,,,1,1008,,,,,,,,
episode,1016,158,8,0,wall,,,1,1016,,,,,,,,
episode,1023,159,7,0,wall,,,1,1023,,,,,,,,
episode,1032,160,9,0,wall,,,1,1032,,,,,,,,
episode,1034,161,2,0,wall,,,1,1034,,,,,,,,
episode,1043,162,9,0,wall,,,1,1043,,,,,,,,
episode,1050,163,7,0,wall,,,1,1050,,,,,,,,
episode,1064,164,14,1,wall,,,1,1064,,,,,,,,
episode,1073,165,9,0,wall,,,1,1073,,,,,,,,
episode,1082,166,9,0,wall,,,1,1082,,,,,,,,
episode,1084,167,2,0,wall,,,1,1084,,,,,,,,
episode,1087,168,3,0,wall,,,1,1087,,,,,,,,
episode,1090,169,3,0,wall,,,1,1090,,,,,,,,
episode,1099,170,9,0,wall,,,1,1099,,,,,,,,
episode,1101,171,2,0,wall,,,1,1101,,,,,,,,
episode,1104,172,3,0,wall,,,1,1104,,,,,,,,
episode,1112,173,8,0,wall,,,1,1112,,,,,,,,
episode,1116,174,4,0,wall,,,1,1116,,,,,,,,
episode,1125,175,9,0,wall,,,1,1125,,,,,,,,
episode,1127,176,2,0,wall,,,1,1127,,,,,,,,
episode,1133,177,6,0,wall,,,1,1133,,,,,,,,
episode,1142,178,9,0,wall,,,1,1142,,,,,,,,
episode,1151,179,9,0,wall,,,1,1151,,,,,,,,
episode,1160,180,9,0,wall,,,1,1160,,,,,,,,
episode,1168,181,8,0,wall,,,1,1168,,,,,,,,
episode,1170,182,2,0,wall,,,1,1170,,,,,,,,
episode,1175,183,5,0,wall,,,1,1175,,,,,,,,
episode,1184,184,9,0,wall,,,1,1184,,,,,,,,
episode,1193,185,9,1,wall,,,1,1193,,,,,,,,
episode,1195,186,2,0,wall,,,1,1195,,,,,,,,
episode,1204,187,9,1,wall,,,1,1204,,,,,,,,
episode,1208,188,4,0,wall,,,1,1208,,,,,,,,
episode,1210,189,2,0,wall,,,1,1210,,,,,,,,
episode,1219,190,9,0,wall,,,1,1219,,,,,,,,
episode,1228,191,9,0,wall,,,1,1228,,,,,,,,
episode,1237,192,9,0,wall,,,1,1237,,,,,,,,
episode,1244,193,7,0,wall,,,1,1244,,,,,,,,
episode,1251,194,7,0,wall,,,1,1251,,,,,,,,
episode,1260,195,9,0,wall,,,1,1260,,,,,,,,
episode,1263,196,3,0,wall,,,1,1263,,,,,,,,
episode,1266,197,3,0,wall,,,1,1266,,,,,,,,
episode,1283,198,17,0,wall,,,1,1283,,,,,,,,
episode,1289,199,6,0,wall,,,1,1289,,,,,,,,
episode,1296,200,7,0,wall,,,1,1296,,,,,,,,
episode,1299,201,3,0,wall,,,1,1299,,,,,,,,
episode,1308,202,9,0,wall,,,1,1308,,,,,,,,
episode,1311,203,3,0,wall,,,1,1311,,,,,,,,
episode,1313,204,2,0,wall,,,1,1313,,,,,,,,
episode,1322,205,9,0,wall,,,1,1322,,,,,,,,
episode,1331,206,9,0,wall,,,1,1331,,,,,,,,
episode,1333,207,2,0,wall,,,1,1333,,,,,,,,
episode,1342,208,9,0,wall,,,1,1342,,,,,,,,
episode,1345,209,3,0,wall,,,1,1345,,,,,,,,
episode,1351,210,6,0,wall,,,1,1351,,,,,,,,
