event,step,episodes,episode_steps,episode_score,death_reason,avg_score,avg_loss,best_score,replay_size,eval_score,eval_score_median,eval_score_max,eval_reward,eval_death_self,eval_death_wall,eval_death_timeout,best_eval
episode,50,1,50,0,timeout,,,0,50,,,,,,,,
episode,100,2,50,0,timeout,,,0,100,,,,,,,,
episode,150,3,50,0,timeout,,,0,150,,,,,,,,
episode,238,4,88,1,timeout,,,1,238,,,,,,,,
episode,288,5,50,0,timeout,,,1,288,,,,,,,,
episode,338,6,50,0,timeout,,,1,338,,,,,,,,
episode,631,7,293,5,timeout,,,5,631,,,,,,,,
episode,1002,8,371,5,self,,,5,1002,,,,,,,,
episode,1052,9,50,0,timeout,,,5,1052,,,,,,,,
episode,1102,10,50,0,timeout,,,5,1102,,,,,,,,
episode,1152,11,50,0,timeout,,,5,1152,,,,,,,,
episode,1202,12,50,0,timeout,,,5,1202,,,,,,,,
episode,1252,13,50,0,timeout,,,5,1252,,,,,,,,
episode,1302,14,50,0,timeout,,,5,1302,,,,,,,,
episode,1614,15,312,5,timeout,,,5,1614,,,,,,,,
episode,1863,16,249,3,timeout,,,5,1863,,,,,,,,
episode,1913,17,50,0,timeout,,,5,1913,,,,,,,,
episode,1998,18,85,1,timeout,,,5,1998,,,,,,,,
train,2000,18,,,,1.1111111111111112,0.0,5,2000,,,,,,,,
episode,2048,19,50,0,timeout,,,5,2048,,,,,,,,
episode,2126,20,78,1,timeout,,,5,2126,,,,,,,,
episode,2176,21,50,0,timeout,,,5,2176,,,,,,,,
episode,2414,22,238,4,timeout,,,5,2414,,,,,,,,
episode,2464,23,50,0,timeout,,,5,2464,,,,,,,,
episode,2514,24,50,0,timeout,,,5,2514,,,,,,,,
episode,2603,25,89,1,timeout,,,5,2603,,,,,,,,
episode,2653,26,50,0,timeout,,,5,2653,,,,,,,,
episode,2703,27,50,0,timeout,,,5,2703,,,,,,,,
episode,2899,28,196,3,self,,,5,2899,,,,,,,,
episode,2991,29,92,1,timeout,,,5,2991,,,,,,,,
episode,3041,30,50,0,timeout,,,5,3041,,,,,,,,
episode,3116,31,75,3,self,,,5,3116,,,,,,,,
episode,3229,32,113,1,timeout,,,5,3229,,,,,,,,
episode,3279,33,50,0,timeout,,,5,3279,,,,,,,,
episode,3412,34,133,2,timeout,,,5,3412,,,,,,,,
episode,3462,35,50,0,timeout,,,5,3462,,,,,,,,
episode,3544,36,82,1,timeout,,,5,3544,,,,,,,,
episode,3622,37,78,1,timeout,,,5,3622,,,,,,,,
episode,3729,38,107,1,timeout,,,5,3729,,,,,,,,
episode,3882,39,153,2,timeout,,,5,3882,,,,,,,,
episode,3932,40,50,0,timeout,,,5,3932,,,,,,,,
train,4000,40,,,,1.025,0.0,5,4000,,,,,,,,
episode,4051,41,119,2,timeout,,,5,4051,,,,,,,,
episode,4101,42,50,0,timeout,,,5,4101,,,,,,,,
episode,4151,43,50,0,timeout,,,5,4151,,,,,,,,
episode,4248,44,97,1,timeout,,,5,4248,,,,,,,,
episode,4298,45,50,0,timeout,,,5,4298,,,,,,,,
episode,4348,46,50,0,timeout,,,5,4348,,,,,,,,
episode,4425,47,77,1,timeout,,,5,4425,,,,,,,,
