event,step,episodes,episode_steps,episode_score,death_reason,episode_length,avg_score,avg_loss,best_score,replay_size,eval_score,eval_score_median,eval_score_max,eval_reward,eval_avg_length,eval_max_length,eval_death_self,eval_death_wall,eval_death_timeout,best_eval
episode,2226,92,3,0,wall,2,,,2,2226,,,,,,,,,,
episode,2230,93,4,0,wall,2,,,2,2230,,,,,,,,,,
episode,2242,94,12,0,wall,2,,,2,2242,,,,,,,,,,
episode,2251,95,9,0,wall,2,,,2,2251,,,,,,,,,,
episode,2252,96,1,0,wall,2,,,2,2252,,,,,,,,,,
episode,2262,97,10,0,wall,2,,,2,2262,,,,,,,,,,
episode,2271,98,9,0,wall,2,,,2,2271,,,,,,,,,,
episode,2282,99,11,0,wall,2,,,2,2282,,,,,,,,,,
episode,2332,100,50,0,timeout,2,,,2,2332,,,,,,,,,,
episode,2336,101,4,0,wall,2,,,2,2336,,,,,,,,,,
episode,2382,102,46,0,wall,2,,,2,2382,,,,,,,,,,
episode,2383,103,1,0,wall,2,,,2,2383,,,,,,,,,,
episode,2396,104,13,0,wall,2,,,2,2396,,,,,,,,,,
episode,2411,105,15,0,wall,2,,,2,2411,,,,,,,,,,
episode,2412,106,1,0,wall,2,,,2,2412,,,,,,,,,,
episode,2414,107,2,0,wall,2,,,2,2414,,,,,,,,,,
episode,2486,108,72,1,wall,3,,,2,2486,,,,,,,,,,
episode,2502,109,16,0,wall,2,,,2,2502,,,,,,,,,,
episode,2513,110,11,0,wall,2,,,2,2513,,,,,,,,,,
episode,2526,111,13,0,wall,2,,,2,2526,,,,,,,,,,
episode,2576,112,50,0,timeout,2,,,2,2576,,,,,,,,,,
episode,2598,113,22,0,wall,2,,,2,2598,,,,,,,,,,
episode,2610,114,12,0,wall,2,,,2,2610,,,,,,,,,,
episode,2674,115,64,1,wall,3,,,2,2674,,,,,,,,,,
episode,2675,116,1,0,wall,2,,,2,2675,,,,,,,,,,
episode,2712,117,37,0,wall,2,,,2,2712,,,,,,,,,,
episode,2749,118,37,0,wall,2,,,2,2749,,,,,,,,,,
episode,2799,119,50,0,timeout,2,,,2,2799,,,,,,,,,,
episode,2803,120,4,0,wall,2,,,2,2803,,,,,,,,,,
episode,2818,121,15,0,wall,2,,,2,2818,,,,,,,,,,
episode,2868,122,50,0,timeout,2,,,2,2868,,,,,,,,,,
episode,2869,123,1,0,wall,2,,,2,2869,,,,,,,,,,
episode,2870,124,1,0,wall,2,,,2,2870,,,,,,,,,,
episode,2887,125,17,0,wall,2,,,2,2887,,,,,,,,,,
episode,2924,126,37,0,wall,2,,,2,2924,,,,,,,,,,
episode,2933,127,9,0,wall,2,,,2,2933,,,,,,,,,,
episode,2940,128,7,0,wall,2,,,2,2940,,,,,,,,,,
episode,2990,129,50,0,timeout,2,,,2,2990,,,,,,,,,,
episode,2991,130,1,0,wall,2,,,2,2991,,,,,,,,,,
episode,3035,131,44,3,self,5,,,3,3035,,,,,,,,,,
episode,3058,132,23,0,wall,2,,,3,3058,,,,,,,,,,
episode,3070,133,12,0,wall,2,,,3,3070,,,,,,,,,,
episode,3120,134,50,0,timeout,2,,,3,3120,,,,,,,,,,
episode,3170,135,50,0,timeout,2,,,3,3170,,,,,,,,,,
episode,3171,136,1,0,wall,2,,,3,3171,,,,,,,,,,
episode,3183,137,12,0,wall,2,,,3,3183,,,,,,,,,,
episode,3269,138,86,1,timeout,3,,,3,3269,,,,,,,,,,
episode,3319,139,50,0,timeout,2,,,3,3319,,,,,,,,,,
episode,3367,140,48,0,wall,2,,,3,3367,,,,,,,,,,
episode,3417,141,50,0,timeout,2,,,3,3417,,,,,,,,,,
episode,3439,142,22,1,wall,3,,,3,3439,,,,,,,,,,
episode,3481,143,42,0,wall,2,,,3,3481,,,,,,,,,,
episode,3527,144,46,0,wall,2,,,3,3527,,,,,,,,,,
episode,3540,145,13,0,wall,2,,,3,3540,,,,,,,,,,
episode,3555,146,15,1,wall,3,,,3,3555,,,,,,,,,,
episode,3556,147,1,0,wall,2,,,3,3556,,,,,,,,,,
episode,3581,148,25,0,wall,2,,,3,3581,,,,,,,,,,
episode,3631,149,50,0,timeout,2,,,3,3631,,,,,,,,,,
episode,3632,150,1,0,wall,2,,,3,3632,,,,,,,,,,
episode,3636,151,4,0,wall,2,,,3,3636,,,,,,,,,,
episode,3686,152,50,0,timeout,2,,,3,3686,,,,,,,,,,
episode,3736,153,50,0,timeout,2,,,3,3736,,,,,,,,,,
episode,3752,154,16,0,wall,2,,,3,3752,,,,,,,,,,
episode,3765,155,13,0,wall,2,,,3,3765,,,,,,,,,,
episode,3796,156,31,0,wall,2,,,3,3796,,,,,,,,,,
episode,3797,157,1,0,wall,2,,,3,3797,,,,,,,,,,
episode,3839,158,42,0,wall,2,,,3,3839,,,,,,,,,,
episode,3840,159,1,0,wall,2,,,3,3840,,,,,,,,,,
episode,3880,160,40,0,wall,2,,,3,3880,,,,,,,,,,
episode,3930,161,50,0,timeout,2,,,3,3930,,,,,,,,,,
episode,3951,162,21,0,wall,2,,,3,3951,,,,,,,,,,
train,4000,162,,,,,0.13,0.0,3,4000,,,,,,,,,,
episode,4001,163,50,0,timeout,2,,,3,4001,,,,,,,,,,
episode,4005,164,4,0,wall,2,,,3,4005,,,,,,,,,,
episode,4055,165,50,0,timeout,2,,,3,4055,,,,,,,,,,
episode,4063,166,8,0,wall,2,,,3,4063,,,,,,,,,,
episode,4102,167,39,0,wall,2,,,3,4102,,,,,,,,,,
episode,4145,168,43,0,wall,2,,,3,4145,,,,,,,,,,
episode,4158,169,13,0,wall,2,,,3,4158,,,,,,,,,,
episode,4208,170,50,0,timeout,2,,,3,4208,,,,,,,,,,
episode,4258,171,50,0,timeout,2,,,3,4258,,,,,,,,,,
